Loading demo data ...
Data: loaded 89160 cached samples from /home/exouser/.cache/autoresearch_trimnn/data_k2.pkl
Demo — Train: 71328  Val: 17832
Loading 16 intestinal samples (VF2 direct supervision) ...
  B004_ascending_ct25: 21,232 nodes, vf2_zero=1546, vf2_nonzero=1379, vf2_mean(nonzero)=29.7
  B005_ascending_ct24: 17,312 nodes, vf2_zero=1300, vf2_nonzero=1300, vf2_mean(nonzero)=25.3
  B005_descendingSigmoid_ct20: 14,230 nodes, vf2_zero=1169, vf2_nonzero=371, vf2_mean(nonzero)=75.5
  B005_duodenum_ct25: 23,558 nodes, vf2_zero=1273, vf2_nonzero=1652, vf2_mean(nonzero)=27.3
  B005_ileum_ct25: 17,670 nodes, vf2_zero=1748, vf2_nonzero=1177, vf2_mean(nonzero)=28.5
  B006_descendingSigmoid_ct23: 24,585 nodes, vf2_zero=1075, vf2_nonzero=1225, vf2_mean(nonzero)=37.8
  B006_descending_ct24: 20,379 nodes, vf2_zero=1357, vf2_nonzero=1243, vf2_mean(nonzero)=31.7
  B008_ascending_ct22: 5,829 nodes, vf2_zero=1541, vf2_nonzero=483, vf2_mean(nonzero)=23.5
  B008_transverse_ct23: 22,279 nodes, vf2_zero=1465, vf2_nonzero=835, vf2_mean(nonzero)=52.1
  B010_ascending_ct25: 22,961 nodes, vf2_zero=1830, vf2_nonzero=1095, vf2_mean(nonzero)=40.1
  B010_descendingSigmoid_ct24: 24,158 nodes, vf2_zero=1066, vf2_nonzero=1534, vf2_mean(nonzero)=30.0
  B010_descending_ct24: 19,612 nodes, vf2_zero=1388, vf2_nonzero=1212, vf2_mean(nonzero)=31.2
  B010_transverse_ct24: 14,924 nodes, vf2_zero=1458, vf2_nonzero=1142, vf2_mean(nonzero)=24.9
  B011_ascending_ct24: 20,382 nodes, vf2_zero=1278, vf2_nonzero=1322, vf2_mean(nonzero)=29.5
  B011_descendingSigmoid_ct24: 21,201 nodes, vf2_zero=1413, vf2_nonzero=1187, vf2_mean(nonzero)=34.5
  B011_descending_ct24: 20,504 nodes, vf2_zero=1236, vf2_nonzero=1364, vf2_mean(nonzero)=28.4
Loaded 16 samples (310,816 nodes total) in 9.6s
Loading B004_ascending (benchmark eval data) ...
  B004_ascending: 21,232 nodes, 2,925 patterns
Parameters: 302,209

step 00000 (0.0%) | loss: 15.0503 | dt: 1596ms | remaining: 300s   
step 00001 (0.0%) | loss: 15.0284 | dt: 490ms | remaining: 300s   
step 00002 (0.0%) | loss: 14.9911 | dt: 357ms | remaining: 300s   
step 00003 (0.0%) | loss: 14.7326 | dt: 243ms | remaining: 300s   
step 00004 (0.0%) | loss: 14.3562 | dt: 244ms | remaining: 300s   
step 00005 (0.1%) | loss: 13.8455 | dt: 345ms | remaining: 300s   
step 00006 (0.2%) | loss: 13.2842 | dt: 287ms | remaining: 299s   
step 00007 (0.3%) | loss: 12.6913 | dt: 245ms | remaining: 299s   
step 00008 (0.4%) | loss: 12.1022 | dt: 303ms | remaining: 299s   
step 00009 (0.5%) | loss: 11.5407 | dt: 398ms | remaining: 298s   
step 00010 (0.6%) | loss: 11.0093 | dt: 235ms | remaining: 298s   
step 00011 (0.7%) | loss: 10.5161 | dt: 254ms | remaining: 298s   
step 00012 (0.8%) | loss: 10.0358 | dt: 364ms | remaining: 298s   
step 00013 (0.9%) | loss: 9.5817 | dt: 320ms | remaining: 297s   
step 00014 (1.0%) | loss: 9.1314 | dt: 237ms | remaining: 297s   
step 00015 (1.1%) | loss: 8.7061 | dt: 377ms | remaining: 297s   
step 00016 (1.2%) | loss: 8.2944 | dt: 294ms | remaining: 296s   
step 00017 (1.3%) | loss: 7.9049 | dt: 239ms | remaining: 296s   
step 00018 (1.4%) | loss: 7.5429 | dt: 325ms | remaining: 296s   
step 00019 (1.5%) | loss: 7.2097 | dt: 423ms | remaining: 295s   
step 00020 (1.7%) | loss: 6.8749 | dt: 305ms | remaining: 295s   
step 00021 (1.7%) | loss: 6.5597 | dt: 233ms | remaining: 295s   
step 00022 (1.8%) | loss: 6.2543 | dt: 359ms | remaining: 294s   
step 00023 (2.0%) | loss: 5.9670 | dt: 436ms | remaining: 294s   
step 00024 (2.1%) | loss: 5.6914 | dt: 290ms | remaining: 294s   
step 00025 (2.2%) | loss: 5.4294 | dt: 388ms | remaining: 293s   
step 00026 (2.3%) | loss: 5.1806 | dt: 299ms | remaining: 293s   
step 00027 (2.4%) | loss: 4.9409 | dt: 224ms | remaining: 293s   
step 00028 (2.5%) | loss: 4.7109 | dt: 382ms | remaining: 292s   
step 00029 (2.6%) | loss: 4.5135 | dt: 353ms | remaining: 292s   
step 00030 (2.7%) | loss: 4.3046 | dt: 227ms | remaining: 292s   
step 00031 (2.8%) | loss: 4.1122 | dt: 339ms | remaining: 292s   
step 00032 (2.9%) | loss: 3.9242 | dt: 351ms | remaining: 291s   
step 00033 (3.1%) | loss: 3.7487 | dt: 371ms | remaining: 291s   
step 00034 (3.2%) | loss: 3.5767 | dt: 411ms | remaining: 290s   
step 00035 (3.3%) | loss: 3.4132 | dt: 417ms | remaining: 290s   
step 00036 (3.4%) | loss: 3.2606 | dt: 261ms | remaining: 290s   
step 00037 (3.6%) | loss: 3.1168 | dt: 405ms | remaining: 289s   
step 00038 (3.7%) | loss: 2.9748 | dt: 319ms | remaining: 289s   
step 00039 (3.7%) | loss: 2.8460 | dt: 229ms | remaining: 289s   
step 00040 (3.9%) | loss: 2.7604 | dt: 445ms | remaining: 288s   
step 00041 (4.0%) | loss: 2.6415 | dt: 423ms | remaining: 288s   
step 00042 (4.2%) | loss: 2.5283 | dt: 406ms | remaining: 287s   
step 00043 (4.3%) | loss: 2.4219 | dt: 325ms | remaining: 287s   
step 00044 (4.4%) | loss: 2.3206 | dt: 431ms | remaining: 287s   
step 00045 (4.6%) | loss: 2.2260 | dt: 412ms | remaining: 286s   
step 00046 (4.7%) | loss: 2.1317 | dt: 441ms | remaining: 286s   
step 00047 (4.9%) | loss: 2.0450 | dt: 443ms | remaining: 285s   
step 00048 (5.0%) | loss: 1.9597 | dt: 377ms | remaining: 285s   
step 00049 (5.1%) | loss: 1.8774 | dt: 269ms | remaining: 285s   
step 00050 (5.2%) | loss: 1.8010 | dt: 254ms | remaining: 285s   
step 00051 (5.3%) | loss: 1.7295 | dt: 391ms | remaining: 284s   
step 00052 (5.4%) | loss: 1.6657 | dt: 366ms | remaining: 284s   
step 00053 (5.5%) | loss: 1.6036 | dt: 293ms | remaining: 283s   
step 00054 (5.7%) | loss: 1.5417 | dt: 451ms | remaining: 283s   
step 00055 (5.8%) | loss: 1.5009 | dt: 388ms | remaining: 283s   
step 00056 (5.9%) | loss: 1.4446 | dt: 418ms | remaining: 282s   
step 00057 (6.1%) | loss: 1.3908 | dt: 414ms | remaining: 282s   
step 00058 (6.2%) | loss: 1.3426 | dt: 344ms | remaining: 281s   
step 00059 (6.3%) | loss: 1.2982 | dt: 360ms | remaining: 281s   
step 00060 (6.4%) | loss: 1.2487 | dt: 350ms | remaining: 281s   
step 00061 (6.5%) | loss: 1.2039 | dt: 225ms | remaining: 281s   
step 00062 (6.6%) | loss: 1.1730 | dt: 379ms | remaining: 280s   
step 00063 (6.8%) | loss: 1.1340 | dt: 413ms | remaining: 280s   
step 00064 (6.9%) | loss: 1.0902 | dt: 585ms | remaining: 279s   
step 00065 (7.1%) | loss: 1.0552 | dt: 433ms | remaining: 279s   
step 00066 (7.2%) | loss: 1.0195 | dt: 382ms | remaining: 278s   
step 00067 (7.4%) | loss: 0.9875 | dt: 451ms | remaining: 278s   
step 00068 (7.5%) | loss: 0.9560 | dt: 343ms | remaining: 278s   
step 00069 (7.6%) | loss: 0.9262 | dt: 375ms | remaining: 277s   
step 00070 (7.7%) | loss: 0.8933 | dt: 393ms | remaining: 277s   
step 00071 (7.9%) | loss: 0.8653 | dt: 416ms | remaining: 276s   
step 00072 (8.0%) | loss: 0.8422 | dt: 449ms | remaining: 276s   
step 00073 (8.2%) | loss: 0.8124 | dt: 428ms | remaining: 275s   
step 00074 (8.3%) | loss: 0.7906 | dt: 411ms | remaining: 275s   
step 00075 (8.4%) | loss: 0.7734 | dt: 376ms | remaining: 275s   
step 00076 (8.6%) | loss: 0.7525 | dt: 456ms | remaining: 274s   
step 00077 (8.7%) | loss: 0.7347 | dt: 373ms | remaining: 274s   
step 00078 (8.8%) | loss: 0.7170 | dt: 379ms | remaining: 273s   
step 00079 (9.0%) | loss: 0.6980 | dt: 401ms | remaining: 273s   
